Country and territory,Year,GDP per capita,Population (historical estimates)
VGB,2004,,22740
VGB,2005,,23522
VGB,2006,,24344
VGB,2007,,25215
VGB,2008,,26139
VGB,2009,,27067
VGB,2010,,27578
VGB,2011,,27984
VGB,2012,,28440
VGB,2013,,28683
VGB,2014,,29000
VGB,2015,,29394
VGB,2016,,29763
VGB,2017,,30084
VGB,2018,,30359
VGB,2019,,30631
VGB,2020,,30934
VGB,2021,,31145
BRN,1950,,48290
BRN,1951,,51113
BRN,1952,,54038
BRN,1953,,57195
BRN,1954,,60608
BRN,1955,,64283
BRN,1956,,68225
BRN,1957,,72398
BRN,1958,,76708
BRN,1959,,81067
BRN,1960,,85361
BRN,1961,,89580
BRN,1962,,93853
BRN,1963,,98292
BRN,1964,,102921
BRN,1965,,107701
BRN,1966,,112608
BRN,1967,,117645
BRN,1968,,122783
BRN,1969,,128021
BRN,1970,,133349
BRN,1971,,138679
BRN,1972,,143903
BRN,1973,,149076
BRN,1974,,154327
BRN,1975,,159667
BRN,1976,,165079
BRN,1977,,170572
BRN,1978,,176184
BRN,1979,,181964
BRN,1980,,187931
BRN,1981,,194106
BRN,1982,,200642
BRN,1983,,207541
BRN,1984,,214701
BRN,1985,,222134
BRN,1986,,229827
BRN,1987,,237727
BRN,1988,,245746
BRN,1989,,253824
BRN,1990,,261936
BRN,1991,,269869
BRN,1992,,277427
BRN,1993,,284723
BRN,1994,,291950
BRN,1995,,299108
BRN,1996,,306210
BRN,1997,,313224
BRN,1998,,320156
BRN,1999,,327058
BRN,2000,,333937
BRN,2001,,340759
BRN,2002,,347470
BRN,2003,,354049
BRN,2004,,360472
BRN,2005,,366728
BRN,2006,,372814
BRN,2007,,378761
BRN,2008,,384579
BRN,2009,,390322
BRN,2010,,396064
BRN,2011,,401515
BRN,2012,,406637
BRN,2013,,411704
BRN,2014,,416670
BRN,2015,,421449
BRN,2016,,426001
BRN,2017,,430290
BRN,2018,,434283
BRN,2019,,438058
BRN,2020,,441736
BRN,2021,,445382
BGR,1950,2632,7157630
BGR,1951,3170,7228735
BGR,1952,3017,7293469
BGR,1953,3323,7362716
BGR,1954,3228,7439592
BGR,1955,3424,7517927
BGR,1956,3392,7596099
BGR,1957,3714,7672064
BGR,1958,3998,7749341
BGR,1959,4278,7820755
BGR,1960,4642,7891763
BGR,1961,4897,7969343
BGR,1962,5252,8040771
BGR,1963,5448,8108150
BGR,1964,5829,8177724
BGR,1965,6137,8245080
BGR,1966,6575,8308898
BGR,1967,6886,8369839
BGR,1968,6963,8438287
BGR,1969,7246,8512917
BGR,1970,7608,8582960
BGR,1971,7814,8646261
BGR,1972,8145,8700151
BGR,1973,8423,8753492
BGR,1974,8630,8810681
BGR,1975,9295,8860971
BGR,1976,9535,8902475
BGR,1977,9398,8935448
BGR,1978,9594,8958270
BGR,1979,9954,8974434
BGR,1980,9634,8980602
BGR,1981,9860,8978415
BGR,1982,10154,8970487
BGR,1983,9942,8956441
BGR,1984,10249,8939492
BGR,1985,9924,8917080
BGR,1986,10170,8892099
BGR,1987,10173,8865756
BGR,1988,10098,8835822
BGR,1989,9908,8804436
BGR,1990,8922,8767778
BGR,1991,8319.673,8721659
BGR,1992,7846.116,8668545
BGR,1993,7959.1636,8611541
BGR,1994,8212.297,8548469
BGR,1995,8566.603,8477584
BGR,1996,7901.1235,8401382
BGR,1997,7927.429,8318965
BGR,1998,8322.082,8234934
BGR,1999,7921.765,8162298
BGR,2000,8410.795,8097694
BGR,2001,8832.291,8034863
BGR,2002,9471.766,7974804
BGR,2003,10080.783,7917745
BGR,2004,10853.785,7865314
BGR,2005,11758.084,7815221
BGR,2006,12706.182,7766040
BGR,2007,13785.228,7719035
BGR,2008,14761.715,7674912
BGR,2009,14363.259,7634737
BGR,2010,14686.461,7592271
BGR,2011,15112,7543128
BGR,2012,15204,7488347
BGR,2013,15420,7431169
BGR,2014,15711,7372142
BGR,2015,16373,7309255
BGR,2016,17037,7245982
BGR,2017,17763.693,7182430
BGR,2018,18444.26,7117424
BGR,2019,,7052536
BGR,2020,,6979181
BGR,2021,,6885864
BFA,1950,756,4213762
BFA,1951,776,4261987
BFA,1952,797,4312577
BFA,1953,816,4364034
BFA,1954,838,4417101
BFA,1955,859,4472827
BFA,1956,883,4530890
BFA,1957,905,4591020
BFA,1958,929,4651798
BFA,1959,953,4715490
BFA,1960,971,4783261
BFA,1961,1004,4852836
BFA,1962,1060,4924498
BFA,1963,1039,4998671
BFA,1964,1055,5076110
BFA,1965,1087,5157928
BFA,1966,1082,5242799
BFA,1967,1165,5330614
BFA,1968,1189,5422122
BFA,1969,1199,5515754
BFA,1970,1188,5611666
BFA,1971,1219,5707795
BFA,1972,1253,5805284
BFA,1973,1172,5907748
BFA,1974,1132,6018147
BFA,1975,1068,6138449
BFA,1976,1039,6269765
BFA,1977,1090,6416569
BFA,1978,1189,6577786
BFA,1979,1173,6749937
BFA,1980,1165,6932969
BFA,1981,1186,7123735
BFA,1982,1183,7321819
BFA,1983,1140,7531194
BFA,1984,1129,7751478
BFA,1985,1243,7979187
BFA,1986,1400,8207833
BFA,1987,1336,8434994
BFA,1988,1403,8663721
BFA,1989,1342,8895235
BFA,1990,1286,9131362
BFA,1991,1331.2303,9365072
BFA,1992,1264.992,9598555
BFA,1993,1240.1422,9840080
BFA,1994,1189.1213,10091260
BFA,1995,1191.3074,10353268
BFA,1996,1255.7749,10621215
BFA,1997,1268.2632,10897363
BFA,1998,1293.5734,11201067
BFA,1999,1318.7198,11533557
BFA,2000,1275.4819,11882896
BFA,2001,1283.3822,12249767
BFA,2002,1255.5571,12632278
BFA,2003,1277.5809,13030600
BFA,2004,1268.6866,13445981
BFA,2005,1309.9836,13876134
BFA,2006,1322.6372,14316247
BFA,2007,1308.5203,14757072
BFA,2008,1315.4537,15197917
BFA,2009,1287.3678,15650018
BFA,2010,1326.1975,16116851
BFA,2011,1344,16602652
BFA,2012,1388,17113736
BFA,2013,1422,17636414
BFA,2014,1437,18169844
BFA,2015,1450,18718022
BFA,2016,1483,19275504
BFA,2017,1530.2047,19835860
BFA,2018,1589.6241,20392730
BFA,2019,,20951638
BFA,2020,,21522632
BFA,2021,,22100690
BDI,1950,595,2254121
BDI,1951,618,2303256
BDI,1952,626,2351540
BDI,1953,641,2399100
BDI,1954,665,2446765
BDI,1955,674,2495202
BDI,1956,687,2544266
BDI,1957,701,2593848
BDI,1958,708,2643156
BDI,1959,736,2693642
BDI,1960,733,2746633
BDI,1961,615,2815976
BDI,1962,657,2887397
BDI,1963,673,2948131
BDI,1964,695,3033227
BDI,1965,703,3118139
BDI,1966,716,3193389
BDI,1967,764,3274496
BDI,1968,740,3352406
BDI,1969,717,3424431
BDI,1970,893,3497842
BDI,1971,902,3582080
BDI,1972,866,3579196
BDI,1973,921,3571455
BDI,1974,904,3660036
BDI,1975,883,3749235
BDI,1976,956,3830894
BDI,1977,1020,3927429
BDI,1978,1042,4039416
BDI,1979,1011,4137435
BDI,1980,952,4312846
BDI,1981,1014,4490745
BDI,1982,985,4602275
BDI,1983,991,4726511
BDI,1984,968,4842271
BDI,1985,1057,4948031
BDI,1986,1078,5041711
BDI,1987,1095,5157770
BDI,1988,1119,5271844
BDI,1989,1111,5373706
BDI,1990,1124,5483800
BDI,1991,1149.7976,5594838
BDI,1992,1128.3474,5743083
BDI,1993,1075.6154,5555227
BDI,1994,1057.6414,5586415
BDI,1995,934.2031,5932789
BDI,1996,824.5116,5930512
BDI,1997,800.272,5923863
BDI,1998,808.3241,6035347
BDI,1999,772.3172,6180189
BDI,2000,739.7609,6307665
BDI,2001,730.4278,6465731
BDI,2002,737.286,6648951
BDI,2003,703.5615,6860854
BDI,2004,709.7372,7120502
BDI,2005,691.6197,7388869
BDI,2006,703.361,7658194
BDI,2007,700.9587,7944613
BDI,2008,708.6786,8278112
BDI,2009,709.0326,8709371
BDI,2010,717.6115,9126612
BDI,2011,719,9455737
BDI,2012,727,9795479
BDI,2013,738,10149583
BDI,2014,748,10494920
BDI,2015,694,10727153
BDI,2016,665,10903329
BDI,2017,671.3169,11155592
BDI,2018,651.3589,11493476
BDI,2019,,11874838
BDI,2020,,12220229
BDI,2021,,12551215
KHM,1950,768,4380384
KHM,1951,775,4485394
KHM,1952,803,4592881
KHM,1953,792,4702070
KHM,1954,864,4814380
KHM,1955,826,4931233
KHM,1956,912,5051848
KHM,1957,947,5175946
KHM,1958,969,5298410
KHM,1959,1036,5419153
KHM,1960,1070,5541679
KHM,1961,1031,5664665
KHM,1962,1084,5788856
KHM,1963,1135,5913682
KHM,1964,1074,6040854
KHM,1965,1095,6170727
KHM,1966,1116,6299236
KHM,1967,1143,6426456
KHM,1968,1164,6553111
KHM,1969,1151,6679712
KHM,1970,1031,6708523
KHM,1971,980,6696324
KHM,1972,920,6766292
KHM,1973,1239,6852365
KHM,1974,1049,6913410
KHM,1975,925,6727925
KHM,1976,1025,6307123
KHM,1977,1143,6040198
KHM,1978,1291,5961192
KHM,1979,1325,6051810
KHM,1980,1320,6198963
KHM,1981,1301,6364474
KHM,1982,1358,6619704
KHM,1983,1412,6881965
KHM,1984,1476,7133905
KHM,1985,1540,7376090
KHM,1986,1578,7661320
KHM,1987,1490,7975606
KHM,1988,1473,8269784
KHM,1989,1455,8570931
KHM,1990,1404,8910806
KHM,1991,1425.0457,9259362
KHM,1992,1427.2856,9718217
KHM,1993,1384.2925,10243554
KHM,1994,1416.4637,10636353
KHM,1995,1439.2865,10919528
KHM,1996,1450.5251,11182613
KHM,1997,1466.3667,11431578
KHM,1998,1476.296,11669087
KHM,1999,1586.2104,11899010
KHM,2000,1659.0891,12118844
KHM,2001,1726.4713,12338198
KHM,2002,1770.9572,12561783
KHM,2003,1850.2043,12787714
KHM,2004,1965.8785,13016377
KHM,2005,2144.845,13246588
KHM,2006,2286.3848,13477781
KHM,2007,2422.7566,13714798
KHM,2008,2482.0068,13943897
KHM,2009,2433.3062,14155742
KHM,2010,2426.687,14363534
KHM,2011,2496,14573894
KHM,2012,2634,14786650
KHM,2013,2782,14999691
KHM,2014,2930,15210817
KHM,2015,3086,15417527
KHM,2016,3251,15624586
KHM,2017,3425.3948,15830694
KHM,2018,3628.561,16025242
KHM,2019,,16207746
KHM,2020,,16396864
KHM,2021,,16589031
CMR,1950,1070,4315823
CMR,1951,1095,4381983
CMR,1952,1122,4449599
CMR,1953,1148,4519193
CMR,1954,1175,4592382
CMR,1955,1202,4670545
CMR,1956,1229,4753924
CMR,1957,1256,4840930
CMR,1958,1283,4931690
CMR,1959,1310,5028164
CMR,1960,1326,5117606
CMR,1961,1321,5200364
CMR,1962,1339,5303847
CMR,1963,1366,5427516
CMR,1964,1390,5556211
CMR,1965,1393,5690089
CMR,1966,1431,5829584
CMR,1967,1443,5975093
CMR,1968,1508,6127201
CMR,1969,1551,6286226
CMR,1970,1565,6452787
CMR,1971,1578,6627357
CMR,1972,1612,6809472
CMR,1973,1599,6998691
CMR,1974,1632,7194702
CMR,1975,1677,7397421
CMR,1976,1664,7598028
CMR,1977,1706,7796826
CMR,1978,1744,8013278
CMR,1979,1785,8243382
CMR,1980,1900,8519894
CMR,1981,2153,8829055
CMR,1982,2257,9046988
CMR,1983,2345,9240673
CMR,1984,2450,9508581
CMR,1985,2585,9804266
CMR,1986,2683,10112711
CMR,1987,2471,10433912
CMR,1988,2287,10759581
CMR,1989,2021,11089225
CMR,1990,1930,11430519
CMR,1991,1833.3545,11777721
CMR,1992,1754.2467,12128609
CMR,1993,1677.14,12486776
CMR,1994,1615.5973,12848863
CMR,1995,1648.6416,13211643
CMR,1996,1710.106,13575327
CMR,1997,1780.4967,13941183
CMR,1998,1847.2189,14314604
CMR,1999,1902.266,14698975
CMR,2000,1961.0879,15091598
CMR,2001,2028.5474,15493256
CMR,2002,2084.9207,15914029
CMR,2003,2143.98,16354324
CMR,2004,2198.236,16809406
CMR,2005,2222.911,17275174
CMR,2006,2269.518,17751338
CMR,2007,2315.607,18251868
CMR,2008,2352.7996,18777082
CMR,2009,2370.1306,19319276
CMR,2010,2420.1328,19878044
CMR,2011,2494,20448880
CMR,2012,2541,21032684
CMR,2013,2612,21632852
CMR,2014,2696,22299590
CMR,2015,2778,23012650
CMR,2016,2828,23711626
CMR,2017,2850.2727,24393182
CMR,2018,2888.046,25076752
CMR,2019,,25782342
CMR,2020,,26491090
CMR,2021,,27198632
CAN,1950,11622,13743068
CAN,1951,12007,14085723
CAN,1952,12486,14485746
CAN,1953,12726,14901533
CAN,1954,12272,15323199
CAN,1955,13072,15733926
CAN,1956,13791,16167046
CAN,1957,13719,16650052
CAN,1958,13603,17113392
CAN,1959,13829,17524910
CAN,1960,13952,17909358
CAN,1961,14080,18273690
CAN,1962,14787,18622354
CAN,1963,15248,18971014
CAN,1964,15938,19326326
CAN,1965,16694,19688808
CAN,1966,17448,20055242
CAN,1967,17658,20408046
CAN,1968,18297,20731928
CAN,1969,18988,21033938
CAN,1970,19207,21434580
CAN,1971,20024,21888686
CAN,1972,20837,22222228
CAN,1973,22058,22502026
CAN,1974,22643,22812430
CAN,1975,22819,23136250
CAN,1976,23754,23442118
CAN,1977,24265,23715310
CAN,1978,24994,23962686
CAN,1979,25775,24219116
CAN,1980,25784,24511512
CAN,1981,26256,24815780
CAN,1982,25151,25101514
CAN,1983,25625,25360732
CAN,1984,26836,25602080
CAN,1985,28025,25843920
CAN,1986,28472,26116076
CAN,1987,29246,26436886
CAN,1988,30275,26815068
CAN,1989,30458,27244408
CAN,1990,30082,27657206
CAN,1991,29151.697,28015762
CAN,1992,29141.191,28347644
CAN,1993,29657.574,28668168
CAN,1994,30745.822,28981190
CAN,1995,31330.72,29289430
CAN,1996,31594.242,29593856
CAN,1997,32709.691,29882752
CAN,1998,33785.746,30144816
CAN,1999,35345.723,30399776
CAN,2000,36942.562,30683316
CAN,2001,37307.207,31002768
CAN,2002,38123.99,31322400
CAN,2003,38559.977,31619456
CAN,2004,39491.57,31911670
CAN,2005,40485.02,32215914
CAN,2006,41247.15,32531864
CAN,2007,41806.863,32862458
CAN,2008,41896.426,33218542
CAN,2009,40312.62,33593920
CAN,2010,41209.426,33963416
CAN,2011,42197,34323536
CAN,2012,42445,34691876
CAN,2013,42994,35063696
CAN,2014,43607,35404616
CAN,2015,43619,35732120
CAN,2016,43745,36113532
CAN,2017,44591.64,36554344
CAN,2018,44868.742,37035260
CAN,2019,,37522584
CAN,2020,,37888704
CAN,2021,,38155012
CPV,1950,1006,185013
CPV,1951,1019,187262
CPV,1952,1031,189477
CPV,1953,1044,191530
CPV,1954,1030,193477
CPV,1955,1034,195399
CPV,1956,1047,197471
CPV,1957,1012,199873
CPV,1958,1004,202747
CPV,1959,1087,206164
CPV,1960,1135,209856
CPV,1961,1173,214794
CPV,1962,1207,221491
CPV,1963,1237,228823
CPV,1964,1262,236369
CPV,1965,1286,244165
CPV,1966,1309,252248
CPV,1967,1328,260658
CPV,1968,1347,269418
CPV,1969,1366,278536
CPV,1970,1385,287261
CPV,1971,1435,293513
CPV,1972,1457,296818
CPV,1973,1470,299197
CPV,1974,1497,301688
CPV,1975,1237,304382
CPV,1976,1251,307023
CPV,1977,1176,309399
CPV,1978,1275,311694
CPV,1979,1301,314005
CPV,1980,1352,317249
CPV,1981,1447,321638
CPV,1982,1470,326326
CPV,1983,1588,330981
CPV,1984,1626,335481
CPV,1985,1742,339890
CPV,1986,1766,344284
CPV,1987,1817,348726
CPV,1988,1898,353237
CPV,1989,1980,358160
CPV,1990,1965,364572
CPV,1991,1988.3073,372733
CPV,1992,2029.596,381957
CPV,1993,2159.2202,391764
CPV,1994,2291.0803,401664
CPV,1995,2444.9033,411394
CPV,1996,2594.0996,421018
CPV,1997,2777.465,430662
CPV,1998,2999.6245,440223
CPV,1999,3346.88,449630
CPV,2000,3583.587,458258
CPV,2001,3799.0327,465970
CPV,2002,3998.2617,473237
CPV,2003,4185.4893,480095
CPV,2004,4368.0547,486591
CPV,2005,4659.396,492841
CPV,2006,5140.8706,498895
CPV,2007,5597.85,504742
CPV,2008,5985.107,510342
CPV,2009,5926.5063,515643
CPV,2010,6033.72,521219
CPV,2011,6295,527528
CPV,2012,6273,533877
CPV,2013,6234,539949
CPV,2014,6262,546083
CPV,2015,6266,552169
CPV,2016,6418,558399
CPV,2017,6576.943,564959
CPV,2018,6831.216,571209
CPV,2019,,577037
CPV,2020,,582646
CPV,2021,,587936
CYM,1950,,6937
CYM,1951,,7128
CYM,1952,,7472
CYM,1953,,7709
CYM,1954,,7955
CYM,1955,,8150
CYM,1956,,8222
CYM,1957,,8301
CYM,1958,,8353
CYM,1959,,8401
CYM,1960,,8500
CYM,1961,,8647
CYM,1962,,8825
CYM,1963,,9009
CYM,1964,,9193
CYM,1965,,9386
CYM,1966,,9591
CYM,1967,,9795
CYM,1968,,10007
CYM,1969,,10206
CYM,1970,,10551
CYM,1971,,11135
CYM,1972,,11803
CYM,1973,,12465
CYM,1974,,13141
CYM,1975,,13812
CYM,1976,,14477
CYM,1977,,15141
CYM,1978,,15773
CYM,1979,,16400
CYM,1980,,17123
CYM,1981,,17927
CYM,1982,,18752
CYM,1983,,19597
CYM,1984,,20457
CYM,1985,,21340
CYM,1986,,22220
CYM,1987,,23095
CYM,1988,,23982
CYM,1989,,24911
CYM,1990,,26050
CYM,1991,,27362
CYM,1992,,28701
CYM,1993,,30061
CYM,1994,,31439
CYM,1995,,32823
CYM,1996,,34216
CYM,1997,,35603
CYM,1998,,36969
CYM,1999,,38319
CYM,2000,,39683
CYM,2001,,41073
CYM,2002,,42480
CYM,2003,,43881
CYM,2004,,45311
CYM,2005,,46750
CYM,2006,,48199
CYM,2007,,49666
CYM,2008,,51140
CYM,2009,,52620
CYM,2010,,54095
CYM,2011,,55513
CYM,2012,,56884
CYM,2013,,58232
CYM,2014,,59580
CYM,2015,,60935
CYM,2016,,62274
CYM,2017,,63601
CYM,2018,,64904
CYM,2019,,66152
CYM,2020,,67327
CYM,2021,,68157
CAF,1950,1307,1436604
CAF,1951,1339,1456941
CAF,1952,1369,1477904
CAF,1953,1400,1499691
CAF,1954,1431,1522326
CAF,1955,1462,1545901
CAF,1956,1492,1570458
CAF,1957,1522,1596025
CAF,1958,1553,1622622
CAF,1959,1581,1650473
CAF,1960,1567,1679735
CAF,1961,1597,1710369
CAF,1962,1525,1742507
CAF,1963,1492,1776221
CAF,1964,1486,1811700
CAF,1965,1466,1849177
CAF,1966,1427,1888853
CAF,1967,1452,1930870
CAF,1968,1435,1975257
CAF,1969,1476,2021521
CAF,1970,1508,2067364
CAF,1971,1427,2111231
CAF,1972,1368,2153622
CAF,1973,1403,2195908
CAF,1974,1333,2239318
CAF,1975,1323,2283931
CAF,1976,1345,2318356
CAF,1977,1417,2342055
CAF,1978,1398,2365961
CAF,1979,1326,2390331
CAF,1980,1234,2415284
CAF,1981,1219,2441014
CAF,1982,1208,2467639
CAF,1983,1105,2495102
CAF,1984,1146,2523549
CAF,1985,1148,2553074
CAF,1986,1162,2583635
CAF,1987,1079,2615596
CAF,1988,1073,2657237
CAF,1989,1070,2724112
CAF,1990,1023,2809223
CAF,1991,1006.9958,2898059
CAF,1992,965.1934,2991733
CAF,1993,933.0602,3089148
CAF,1994,952.0174,3187851
CAF,1995,978.5566,3276707
CAF,1996,885.8864,3363576
CAF,1997,917.48,3458477
CAF,1998,936.2383,3555074
CAF,1999,967.8432,3655366
CAF,2000,963.9462,3759174
CAF,2001,952.5118,3844780
CAF,2002,928.7716,3930654
CAF,2003,845.5055,4026853
CAF,2004,853.182,4115146
CAF,2005,858.5237,4208845
CAF,2006,881.4852,4294352
CAF,2007,897.4783,4375582
CAF,2008,901.8513,4467237
CAF,2009,898.7005,4564544
CAF,2010,910.3104,4660066
CAF,2011,909,4732037
CAF,2012,916,4773306
CAF,2013,567,4802437
CAF,2014,561,4798739
CAF,2015,576,4819341
CAF,2016,589,4904182
CAF,2017,606.6967,4996741
CAF,2018,623.4889,5094795
CAF,2019,,5209329
CAF,2020,,5343024
CAF,2021,,5457165
TCD,1950,815,2512693
TCD,1951,834,2560170
TCD,1952,851,2607682
TCD,1953,870,2656088
TCD,1954,888,2705625
TCD,1955,907,2756173
TCD,1956,926,2807904
TCD,1957,945,2860904
TCD,1958,966,2915296
TCD,1959,983,2971257
TCD,1960,974,3028688
TCD,1961,971,3087662
TCD,1962,1004,3148248
TCD,1963,972,3210298
TCD,1964,929,3273422
TCD,1965,913,3336341
TCD,1966,878,3398673
TCD,1967,866,3461675
TCD,1968,843,3526775
TCD,1969,881,3595154
TCD,1970,880,3667400
TCD,1971,877,3742543
TCD,1972,800,3824404
TCD,1973,746,3912914
TCD,1974,829,4000559
TCD,1975,952,4084114
TCD,1976,918,4163056
TCD,1977,830,4238555
TCD,1978,808,4313485
TCD,1979,622,4402949
TCD,1980,583,4408239
TCD,1981,521,4409228
TCD,1982,524,4622833
TCD,1983,577,4859174
TCD,1984,601,4920557
TCD,1985,642,4967592
TCD,1986,662,5118163
TCD,1987,663,5300856
TCD,1988,692,5483044
TCD,1989,685,5670621
TCD,1990,692,5827070
TCD,1991,703.2837,6042433
TCD,1992,698.739,6302934
TCD,1993,680.8005,6448279
TCD,1994,713.8271,6593004
TCD,1995,700.7076,6888862
TCD,1996,694.105,7200292
TCD,1997,719.1531,7450883
TCD,1998,753.8608,7709112
TCD,1999,733.7812,7981888
TCD,2000,716.0424,8259144
TCD,2001,783.0552,8538806
TCD,2002,831.8292,8838371
TCD,2003,925.5126,9196374
TCD,2004,1200.2726,9613509
TCD,2005,1266.105,10005013
TCD,2006,1225.5164,10365620
TCD,2007,1422.3408,10722738
TCD,2008,1422.2312,11098672
TCD,2009,1533.1794,11496138
TCD,2010,1720.3344,11894734
TCD,2011,1661,12317729
TCD,2012,1793,12754912
TCD,2013,1888,13216769
TCD,2014,2279,13697128
TCD,2015,2384,14140277
TCD,2016,2189,14592587
TCD,2017,2066.3462,15085893
TCD,2018,2046.3632,15604213
TCD,2019,,16126868
TCD,2020,,16644707
TCD,2021,,17179744
CHL,1950,5880,6623650
CHL,1951,6001,6748677
CHL,1952,6252,6882965
CHL,1953,6582,7024139
CHL,1954,6237,7171411
CHL,1955,6341,7323198
CHL,1956,6285,7480643
CHL,1957,6758,7641939
CHL,1958,6958,7806577
CHL,1959,6409,7973551
CHL,1960,6781,8141826
CHL,1961,6923,8313539
CHL,1962,7071,8486124
CHL,1963,7336,8656007
CHL,1964,7320,8825044
CHL,1965,7208,8994942
CHL,1966,7844,9161650
CHL,1967,7933,9326270
CHL,1968,8053,9491502
CHL,1969,8187,9656302
CHL,1970,8195,9820483
CHL,1971,8773,9984377
CHL,1972,8520,10145762
CHL,1973,7911,10307850
CHL,1974,7857,10472748
CHL,1975,6731,10639534
CHL,1976,6868,10804876
CHL,1977,7438,10969865
CHL,1978,7936,11137754
CHL,1979,8475,11304332
CHL,1980,9024,11469825
CHL,1981,9427,11637615
CHL,1982,8016,11807411
CHL,1983,7667,11976519
CHL,1984,7992,12147764
CHL,1985,8024,12326395
CHL,1986,8325,12514509
CHL,1987,8721,12712786
CHL,1988,9199,12918395
CHL,1989,10005,13128625
CHL,1990,10203,13342876
CHL,1991,10746.491,13561946
CHL,1992,11773.301,13782300
CHL,1993,12296.926,13998387
CHL,1994,12692.551,14210680
CHL,1995,13715.933,14416799
CHL,1996,14433.319,14615489
CHL,1997,15079.831,14809289
CHL,1998,15259.541,14996745
CHL,1999,14846.418,15176418
CHL,2000,15211.623,15351803
CHL,2001,15448.009,15523973
CHL,2002,15509.825,15693798
CHL,2003,15809.178,15859114
CHL,2004,16478.973,16017966
CHL,2005,17137.486,16175315
CHL,2006,17920.803,16334573
CHL,2007,18487.9,16495543
CHL,2008,18804.03,16661463
CHL,2009,18184.48,16833450
CHL,2010,18909.848,17004166
CHL,2011,19705,17173568
CHL,2012,20531,17341770
CHL,2013,21135,17509926
CHL,2014,21335,17687108
CHL,2015,21589,17870122
CHL,2016,21696,18083880
CHL,2017,21650.393,18368582
CHL,2018,22104.766,18701452
CHL,2019,,19039484
CHL,2020,,19300318
CHL,2021,,19493184
CHN,1950,799,543979200
CHN,1951,950,553614016
CHN,1952,1047,564954496
CHN,1953,1157,577378688
CHN,1954,1049,589936000
CHN,1955,1119,603320128
CHN,1956,1189,616283008
CHN,1957,1195,630003008
CHN,1958,1173,643791552
CHN,1959,1117,652179200
CHN,1960,1057,654170688
CHN,1961,874,655260352
CHN,1962,926,664614656
CHN,1963,1034,683903552
CHN,1964,1152,704593792
CHN,1965,1253,723846336
CHN,1966,1261,742948544
CHN,1967,1237,761006272
CHN,1968,1178,780371968
CHN,1969,1264,801430976
CHN,1970,1398,822534464
CHN,1971,1446,843285440
CHN,1972,1431,862840384
CHN,1973,1513,881652096
CHN,1974,1519,899367680
CHN,1975,1594,915124672
CHN,1976,1519,929375936
CHN,1977,1583,942581312
CHN,1978,1744,955138944
CHN,1979,1859,968298944
CHN,1980,1930,982372480
CHN,1981,1962,997259520
CHN,1982,2128,1013483200
CHN,1983,2227,1029226880
CHN,1984,2444,1044172224
CHN,1985,2619,1060240000
CHN,1986,2748,1077770496
CHN,1987,2931,1096851840
CHN,1988,3045,1115889792
CHN,1989,3022,1134414720
CHN,1990,2982,1153704192
CHN,1991,3051.3152,1170626176
CHN,1992,3227.7441,1183813376
CHN,1993,3506.48,1195855616
CHN,1994,3730.164,1207286656
CHN,1995,3999.7292,1218144384
CHN,1996,4219.644,1228298880
CHN,1997,4310.828,1237801472
CHN,1998,4309.847,1246836096
CHN,1999,4466.7363,1255433216
CHN,2000,4730.3545,1264099072
CHN,2001,4995.1445,1272739584
CHN,2002,5343.1123,1280926080
CHN,2003,5649.4634,1288873344
CHN,2004,6067.5913,1296816768
CHN,2005,6626.592,1304887552
CHN,2006,7271.0356,1313086592
CHN,2007,7895.713,1321513216
CHN,2008,8190.1123,1330167168
CHN,2009,8734.041,1339125632
CHN,2010,9658.419,1348191360
CHN,2011,10221,1357095424
CHN,2012,10680,1366560768
CHN,2013,11328,1376100352
CHN,2014,11944,1385189632
CHN,2015,12244,1393715456
CHN,2016,12569,1401889664
CHN,2017,12733.932,1410275968
CHN,2018,13101.706,1417069440
CHN,2019,,1421864064
CHN,2020,,1424929792
CHN,2021,,1425893504
COL,1950,3432,11769747
COL,1951,3427,12087061
COL,1952,3529,12419969
COL,1953,3629,12767245
COL,1954,3759,13130655
COL,1955,3783,13512614
COL,1956,3811,13911411
COL,1957,3826,14329364
COL,1958,3798,14760804
COL,1959,3942,15211086
COL,1960,3980,15687692
COL,1961,4049,16182421
COL,1962,4135,16691286
COL,1963,4140,17210954
COL,1964,4264,17739760
COL,1965,4286,18275818
COL,1966,4383,18811410
COL,1967,4438,19343968
COL,1968,4581,19872508
COL,1969,4744,20392264
COL,1970,4932,20905256
COL,1971,5091,21405412
COL,1972,5348,21898060
COL,1973,5577,22396324
COL,1974,5767,22897878
COL,1975,5772,23403732
COL,1976,5918,23913004
COL,1977,6046,24443926
COL,1978,6443,25003606
COL,1979,6658,25579328
COL,1980,6786,26176206
COL,1981,6782,26785992
COL,1982,6698,27405200
COL,1983,6655,28042326
COL,1984,6741,28689038
COL,1985,6809,29326256
COL,1986,7071,29960106
COL,1987,7296,30603052
COL,1988,7442,31256726
COL,1989,7533,31923126
COL,1990,7693,32601396
COL,1991,7713.022,33272632
COL,1992,7888.1055,33939044
COL,1993,8180.8706,34614732
COL,1994,8447.857,35295460
COL,1995,8735.883,35970104
COL,1996,8770.583,36632576
COL,1997,8952.473,37291948
COL,1998,8863.262,37944416
COL,1999,8382.14,38585040
COL,2000,8496.792,39215136
COL,2001,8528.033,39837876
COL,2002,8630.542,40454056
COL,2003,8855.218,41057688
COL,2004,9211.279,41648272
